tradeId|tradeName|tradeIsShow|tradeDesc|tradeCityCode|tradeProviceCode
2000000001|交易名称1|0|交易描述:该交易发生在5月20日13点|440100|440000
2000000001||0|交易描述:该交易发生在5月20日13点|440100|440000

2000000001|交易名称1|1|交易描述:该交易发生在5月20日13点|440100|440000
2000000001||1|交易描述:该交易发生在5月20日13点|440100|440000

2000000001|交易名称1|2|交易描述:该交易发生在5月20日13点|440100|440000
2000000001||2|交易描述:该交易发生在5月20日13点|440100|440000

2000000001|交易名称1|0|交易描述:该交易发生在5月20日13点|4401001|440000
2000000001|交易名称1|0|交易描述:该交易发生在5月20日13点|440100|4400001

2000000001|交易名称1|1|交易描述:该交易发生在5月20日13点|4401001|440000
2000000001|交易名称1|1|交易描述:该交易发生在5月20日13点|440100|4400001

2000000001|交易名称1|2|交易描述:该交易发生在5月20日13点|4401001|440000
2000000001|交易名称1|2|交易描述:该交易发生在5月20日13点|440100|4400001


2000000001|交易名称1|0|交易描述:该交易发生在5月20日13点|440100|
2000000001|交易名称1|0|交易描述:该交易发生在5月20日13点||440000

2000000001|交易名称1|1|交易描述:该交易发生在5月20日13点|440100|
2000000001|交易名称1|1|交易描述:该交易发生在5月20日13点||440000

2000000001|交易名称1|2|交易描述:该交易发生在5月20日13点|440100|
2000000001|交易名称1|2|交易描述:该交易发生在5月20日13点||440000

